DataSize,F1_Score,Duration
5,0.2,26.573678493499756
10,0.5185,32.280495405197144
15,0.6061,103.0789680480957
20,0.5185,159.60938692092896
25,0.5714,493.0725703239441
30,0.5789,1111.7138271331787
35,0.6154,2104.4480028152466
